,index,Texto,Texto limpio,Categoría
0,5618,Siempre mantuvo la rutina de recordar cómo arrugabas la nariz cuando sonreías. #juevesconcuento,siempre mantuvo rutina recordar cómo arrugabas nariz sonreías juevesconcuento,Microficción
1,708,"""No elijas a la persona más bonita del mundo, elige a la persona que haga más bonito tu mundo.""",carpeta cienfuegos generales retirados abogado militar,Frase/Pensamiento
2,4750,Ningún indicio de que la FGR haya investigado la Operación Hermes: periodista https://t.co/8ANDooc59H https://t.co/Bum7R9Z6P6,di cuenta vida,Noticia
3,2281,"#ÚltimaHora Se registra ‘apagón’ en distintas ciudades del país
https://t.co/1Oiy9miK2c https://t.co/238zK8bUVa",renuncia secretaria transporte eu,Noticia
4,6116,"Le escribió advirtiéndole del tipo armado que vio colarse en su casa, ¿pero quién lee mensajes de texto hoy en día?",escribió advirtiéndole tipo armado vio colarse casa quién lee mensajes texto hoy día,Microficción
5,6915,"Gracias Rogelio Vega, de @LaCronicaDeHoy , por tus palabras. Gracias también a @latintasilencio por su apoyo y amistad.

https://t.co/uzTsgWHblw https://t.co/NPhQ1yjTrM",gracias rogelio vega lacronicadehoy palabras gracias latintasilencio apoyo amistad,Microficción
6,5203,Lo bueno de ser poeta es que los males de amor pasan rápido. Apenas tres poemas y ya se obsesionan con otra musa de carne y beso.,bueno ser poeta males amor pasan rápido apenas tres poemas obsesionan musa carne beso,Microficción
7,257,"""Y si me dan la oportunidad de pedir tres deseos, te pido tres veces""",investigadores brasil reportan decepcionante eficacia vacuna sinovac china,Frase/Pensamiento
8,547,"No me enoja lo que haces, me enoja que tú te enojarías si yo hiciera lo que haces.",llegan tarde mal medicados pacientes covid19 secretaria saludcdmx,Frase/Pensamiento
9,20,Jamás. https://t.co/6KKtFgLM3P,renuncia ministra trabajo austria tras descubrirse plagió tesis,Frase/Pensamiento
10,395,"Amor, Dime algo Bonito http://t.co/Bo4osozWhp",méxico haciendo bien tarea acuerdo parís adrián fernández,Frase/Pensamiento
11,3396,"Familiares de abogado desaparecido en Morelos inician su propia búsqueda
https://t.co/1ka1Dc0lu1 https://t.co/crP62yjvz0",sé humilde admitir errores inteligente aprender maduro corregirlos,Noticia
12,1230,"""Algún día te darás cuenta de que yo lo daba todo por ti.""",unidos vivía crisis tan profunda guerra civil volpi,Frase/Pensamiento
13,6646,"No sabía si sentirse halagado o preocupado porque preguntara por él a su entorno cercano para saber de su vida. Por si acaso, en el cajón de su mesa de noche guardó una sonrisa y una colección de antídotos.",sabía si sentirse halagado preocupado preguntara entorno cercano saber vida si acaso cajón mesa noche guardó sonrisa colección antídotos,Microficción
14,3278,AMLO se reunirá con Sanjuana Martínez para atender conflicto laboral de Notimex https://t.co/HBjdAtACD2 https://t.co/plbbL2gDqW,caigo levanto equivoco aprendo herido vivo humano perfecto agradecido,Noticia
15,3957,"Presuntos hackers accedieron a código fuente de Microsoft; no causan daños en datos
https://t.co/OCgCQep8gB https://t.co/QYidnqzKOA",mata hace fuerte dura fría mala,Noticia
16,2708,"Murió el actor José Ángel García, papá de Gael https://t.co/fz4zJ6bylc https://t.co/DDr7bHml1e",estabilidad seguridad alguien haga sentir tan cómodo dudes si quieren,Noticia
17,1997,Me delata la sonrisa cuando escucho su nombre.,primerasplanas fin trump partido republicano respaldó disturbios washington,Frase/Pensamiento
18,5902,"-Me la rechaza.
-Pruebe otra vez.
-Señora...
-Pruebe otra vez-silabeó mientras miraba de reojo la sonrisa de su vecina.
 #monoficción",rechaza pruebe vez señora pruebe vezsilabeó mientras miraba reojo sonrisa vecina monoficción,Microficción
19,628,Quédate con quien acepte tu locura y tus errores.,murió amparo higuera juárez integrante jilguerillas,Frase/Pensamiento
20,491,"""Nunca dejes de intentar sólo por miedo a equivocarte.""",ocupación violenta capitolio eu deja muertos arrestos,Frase/Pensamiento
21,6577,Los encerraron en la sala del cine.Una semana después sólo quedaban la mitad de los rehenes pero bien rollizos. #MicroHorror,encerraron sala cineuna semana después sólo quedaban mitad rehenes bien rollizos microhorror,Microficción
22,210,"Lo que quiero contigo, no lo quiero con nadie más.",aristeguienvivo desafortunadamente fiscal rubén vasconcelos responde llamadas hago invitación congreso local oaxaca convoquen comparecer debe muchas explicaciones palabras saxofonista maría elena ríos,Frase/Pensamiento
23,7019,"Mil voces le gritaban que quemara la casa, que acabara con ese tipo que le miraba mal, que todos estaban en su contra... Imposible escuchar ese hilillo de voz que era su niño interior gritando ""dejadnos en paz.",mil voces gritaban quemara casa acabara tipo miraba mal imposible escuchar hilillo voz niño interior gritando dejadnos paz,Microficción
24,2456,‘No hay operación comercial en el Centro Histórico que no pase por el cártel La Unión Tepito’: Antonio Nieto https://t.co/3meU8vALIE https://t.co/U9QuTlMJlB,primerasplanas trump admite derrota funcionarios urgen salida,Noticia
25,6407,"El francotirador erró el tiro
-Está trucada-se quejó
-Amigo, en el amor y en la feria todo vale
Le disparó a bocajarro y huyó con un peluche",francotirador erró tiro trucadase quejó amigo amor feria vale disparó bocajarro huyó peluche,Microficción
26,5600,"@JJ_Kastle Hola, ¿Hay alguna hora específica para participar en tu dinámica de los martes? ¿Es la única que desarrollas?",jj_kastle hola alguna hora específica participar dinámica martes única desarrollas,Microficción
27,4804,La reforma presupuestaria de AMLO y videos inéditos sobre el asesinato de Sandoval | #ColumnasPolíticas de este martes https://t.co/kbxBUSoQbQ https://t.co/V9PHm0WxR4,ojalá nunca abrace última vez,Noticia
28,7585,"Encontraron su cadáver tres días después. Su alma todavía vaga atragantada en el llanto de millones de personas, tratando de llenar el vacío que les corroe.",encontraron cadáver tres días después alma todavía vaga atragantada llanto millones personas tratando llenar vacío corroe,Microficción
29,6776,"-Este año no iremos de vacaciones.
-Papá, vivir en una caravana todo el año son vacaciones-intentó consolarle su hijo pequeño.",año iremos vacaciones papá vivir caravana año vacacionesintentó consolarle hijo pequeño,Microficción
30,3610,Presentan en línea el catálogo de la exposición ‘El París de Modigliani y sus contemporáneos’ https://t.co/I53u6uOP6p https://t.co/inDXd0UCjt,preocuparse menos mandar mierda,Noticia
31,3413,"#AristeguiEnVivo | Iniciamos nuestra #MesaDeAnálisis con la periodista Anabel Hernández, @FigueroaAlfredo, Exconsejero del IFE, y Gabriel Reyes Orona, Exprocurador Fiscal https://t.co/puuXl2ZnKp https://t.co/AuQbbIeDYl",fallé mil veces fallarte,Noticia
32,4014,"#LoMejordeAristeguienVivo | Dióxido de cloro e Ivermectina no son efectivos contra Covid-19 | Reporteros de la mañanera deben hacerse pruebas: Investigadora
https://t.co/HCVV0gjBuE https://t.co/xbShJQcVqd",nublado vista creo voy llover,Noticia
33,7218,"- #TengoElDonDe pasar desapercibido. 
- ¿Alguien dijo algo?",tengoeldonde pasar desapercibido alguien dijo,Microficción
34,2673,Se empieza a develar el tamaño de la pandemia en México: Mesa de Análisis https://t.co/zY0chkN5OR https://t.co/qHGinB9AUS,herida sane dejar tocarla,Noticia
35,7655,Divisaron al extranjero un martes por la tarde. Los niños se arremolinaron alrededor de su carro. Sin prisa empezó a montar el escenario para sus títeres. Al amanecer abandonó el pueblo con el pequeño Miguel maniatado entre muñecos. #martesmge,divisaron extranjero martes tarde niños arremolinaron alrededor carro prisa empezó montar escenario títeres amanecer abandonó pueblo pequeño miguel maniatado muñecos martesmge,Microficción
36,4311,"#AristeguiEnVivo | De acuerdo con la Universidad Johns Hopkins, ayer se registraron 3 mil 848 decesos en la Unión Americana, además de 232 mil 943 nuevos caso de Covid 19: @JJesusEsquivel, periodista en Washington https://t.co/OBLGoTUKD5 https://t.co/cVwEUoDFQd",hecho diga ciertas cosas quiere decir sienta,Noticia
37,6845,#cuentosde10 https://t.co/rdXQboeIlZ,cuentosde10,Microficción
38,4217,"Definen los Juegos Divisionales en los Playoffs de la NFL, tras la Ronda de Comodines https://t.co/KYLkSIkFA8 https://t.co/KfRLUVHNXj",dios pone personas vida razón saca mejor,Noticia
39,5727,-Esto es muy importante-le dije a mi joven yo.-No inviertas la polaridad del campo o destruirás la ciudad.,importantele dije joven yono inviertas polaridad campo destruirás ciudad,Microficción
40,279,Las miradas son el punto débil de una persona.,incendio tamaulipas originó mega apagón nacional lunes cfe video,Frase/Pensamiento
41,2545,Vuelca camioneta en CDMX con 150 kilos de ‘polvo blanco’ en compartimento secreto https://t.co/hTNJoUV0P0 https://t.co/5KjtRGr2ir,seguirá carrera mesut özil fenerbahce,Noticia
42,2949,"Publicar expediente conviene a Cienfuegos, pero a la DEA no le gustará: Richter https://t.co/K9ZEIueF1w https://t.co/zKACnPbZOm",éxito vida vencer siempre sino rendirse nunca,Noticia
43,2370,"Renuncia Bogart Montiel a la Dirección de Administración del INE; está acusado de irregularidades
https://t.co/utLHedw8hT https://t.co/IEhPfWCS5Y",destaca gasman incorporación tema violencia género estrategia seguridad,Noticia
44,5571,Superman tuvo un mal día y se cansó de ser el tipo bueno que a todos perdona. Metrópolis se convirtió en un cráter.,superman mal día cansó ser tipo bueno perdona metrópolis convirtió cráter,Microficción
45,7555,"Un pulso electromagnético acabó con los androides y la guerra inició. No sabían cultivar, la carne humana era la única opción.",pulso electromagnético acabó androides guerra inició sabían cultivar carne humana única opción,Microficción
46,7481,China creó una plaga para acabar con las demás razas. No pudo ver los resultados. Fue la primera víctima de la guerra nuclear,china creó plaga acabar demás razas pudo ver resultados primera víctima guerra nuclear,Microficción
47,5749,"Cada día los observaba más sorprendido y preocupado. Tras dos siglos de satisfactoria evolución, con sus consecuentes sombras, una inesperada involución desarrollada con la llegada de los smartphones me hizo tomar la decisión. Teníamos que aniquilar a los humanos ya.
#Wordtober22",cada día observaba sorprendido preocupado tras dos siglos satisfactoria evolución consecuentes sombras inesperada involución desarrollada llegada smartphones hizo tomar decisión aniquilar humanos wordtober22,Microficción
